ble_count,actual_passengers,occupancy_tier
8,8,empty
42,50,crowded
37,47,crowded
5,7,empty
39,49,crowded
44,58,crowded
16,22,seated
23,28,seated
10,17,seated
21,30,seated
21,29,seated
37,51,crowded
26,38,seated
30,34,seated
15,17,seated
43,58,crowded
34,41,crowded
26,38,seated
14,16,seated
10,13,empty
24,30,seated
20,23,seated
27,34,seated
35,43,crowded
50,59,crowded
34,44,crowded
27,33,seated
0,2,empty
27,36,seated
28,42,crowded
33,39,crowded
18,25,seated
42,54,crowded
17,22,seated
36,43,crowded
30,38,seated
10,14,empty
44,55,crowded
39,48,crowded
4,3,empty
17,28,seated
14,21,seated
19,24,seated
9,12,empty
14,17,seated
23,32,seated
9,15,seated
31,44,crowded
29,41,crowded
34,43,crowded
2,1,empty
39,54,crowded
22,34,seated
29,41,crowded
25,33,seated
20,29,seated
47,58,crowded
47,54,crowded
8,12,empty
11,12,empty
12,17,seated
20,31,seated
23,31,seated
22,34,seated
48,58,crowded
28,38,seated
34,45,crowded
35,51,crowded
21,28,seated
37,48,crowded
26,28,seated
36,52,crowded
32,43,crowded
39,56,crowded
12,15,seated
49,55,crowded
32,43,crowded
38,46,crowded
46,56,crowded
7,9,empty
21,29,seated
17,24,seated
26,38,seated
13,19,seated
6,4,empty
0,0,empty
24,29,seated
38,48,crowded
3,2,empty
33,44,crowded
11,13,empty
39,55,crowded
17,29,seated
39,49,crowded
4,3,empty
13,17,seated
27,36,seated
20,24,seated
32,47,crowded
1,0,empty
40,52,crowded
34,45,crowded
14,14,empty
6,8,empty
10,14,empty
40,48,crowded
39,56,crowded
16,23,seated
1,3,empty
8,11,empty
44,58,crowded
40,57,crowded
27,36,seated
31,36,seated
36,42,crowded
46,59,crowded
5,5,empty
30,38,seated
40,55,crowded
31,45,crowded
16,23,seated
9,10,empty
9,12,empty
22,33,seated
18,24,seated
3,6,empty
41,51,crowded
1,3,empty
40,58,crowded
8,7,empty
17,19,seated
22,28,seated
37,53,crowded
41,52,crowded
42,50,crowded
28,44,crowded
38,45,crowded
6,9,empty
32,42,crowded
26,33,seated
48,56,crowded
21,25,seated
30,40,crowded
33,48,crowded
39,57,crowded
1,2,empty
39,55,crowded
2,5,empty
4,4,empty
4,4,empty
42,53,crowded
38,46,crowded
19,22,seated
37,48,crowded
6,8,empty
24,34,seated
14,19,seated
42,57,crowded
35,48,crowded
39,58,crowded
35,41,crowded
30,34,seated
40,49,crowded
15,17,seated
16,16,seated
20,23,seated
3,2,empty
23,31,seated
29,34,seated
25,37,seated
9,12,empty
42,55,crowded
32,46,crowded
19,24,seated
7,8,empty
2,3,empty
10,13,empty
27,36,seated
21,33,seated
6,10,empty
26,40,crowded
37,55,crowded
1,2,empty
47,58,crowded
21,27,seated
21,28,seated
5,8,empty
2,2,empty
16,24,seated
26,33,seated
9,11,empty
27,41,crowded
7,8,empty
10,14,empty
30,39,crowded
20,24,seated
3,4,empty
7,10,empty
46,58,crowded
24,33,seated
20,23,seated
45,59,crowded
11,14,empty
28,37,seated
9,7,empty
43,58,crowded
3,4,empty
36,47,crowded
21,25,seated
12,17,seated
4,5,empty
28,36,seated
49,59,crowded
38,47,crowded
8,12,empty
21,27,seated
2,4,empty
9,12,empty
12,16,seated
34,49,crowded
33,39,crowded
37,44,crowded
21,31,seated
22,28,seated
37,50,crowded
45,57,crowded
3,2,empty
39,55,crowded
27,39,crowded
25,33,seated
26,39,crowded
20,26,seated
7,12,empty
36,44,crowded
20,32,seated
6,5,empty
19,23,seated
16,18,seated
10,15,seated
33,39,crowded
20,27,seated
27,32,seated
47,58,crowded
46,58,crowded
37,47,crowded
28,40,crowded
11,12,empty
34,42,crowded
28,44,crowded
18,24,seated
40,52,crowded
27,41,crowded
26,35,seated
23,26,seated
29,37,seated
41,59,crowded
6,6,empty
0,4,empty
30,42,crowded
36,44,crowded
46,57,crowded
39,56,crowded
39,50,crowded
26,30,seated
13,22,seated
28,41,crowded
10,9,empty
26,31,seated
32,42,crowded
40,52,crowded
26,29,seated
32,38,seated
20,30,seated
12,17,seated
24,35,seated
0,1,empty
10,13,empty
9,12,empty
21,28,seated
9,11,empty
30,38,seated
1,1,empty
21,31,seated
12,12,empty
30,45,crowded
19,26,seated
35,48,crowded
29,40,crowded
11,16,seated
36,39,crowded
21,30,seated
23,33,seated
40,59,crowded
15,23,seated
30,44,crowded
26,34,seated
35,47,crowded
4,5,empty
17,18,seated
21,29,seated
3,6,empty
4,9,empty
35,40,crowded
24,31,seated
26,33,seated
23,27,seated
37,59,crowded
11,14,empty
21,29,seated
22,36,seated
23,28,seated
15,21,seated
3,3,empty
13,19,seated
25,31,seated
28,35,seated
33,49,crowded
0,3,empty
14,26,seated
12,16,seated
13,11,empty
16,21,seated
16,16,seated
8,9,empty
41,53,crowded
2,0,empty
14,21,seated
17,25,seated
39,55,crowded
44,58,crowded
15,17,seated
37,49,crowded
10,13,empty
32,46,crowded
19,28,seated
11,11,empty
30,35,seated
50,58,crowded
22,34,seated
39,51,crowded
9,11,empty
5,6,empty
21,28,seated
4,10,empty
26,32,seated
5,5,empty
36,46,crowded
10,14,empty
24,31,seated
36,50,crowded
9,10,empty
46,57,crowded
17,22,seated
23,25,seated
25,33,seated
38,45,crowded
22,33,seated
21,28,seated
1,3,empty
13,16,seated
26,34,seated
10,12,empty
29,40,crowded
24,38,seated
10,14,empty
36,54,crowded
21,28,seated
17,28,seated
7,10,empty
42,51,crowded
23,31,seated
0,1,empty
36,46,crowded
13,13,empty
14,19,seated
17,21,seated
9,10,empty
22,26,seated
1,2,empty
13,16,seated
35,43,crowded
38,55,crowded
22,27,seated
20,28,seated
15,20,seated
33,46,crowded
11,15,seated
29,36,seated
47,58,crowded
16,19,seated
4,5,empty
13,18,seated
41,56,crowded
5,4,empty
1,2,empty
44,58,crowded
0,0,empty
39,57,crowded
42,59,crowded
30,37,seated
12,14,empty
28,33,seated
31,34,seated
42,48,crowded
21,24,seated
19,23,seated
10,11,empty
12,17,seated
9,14,empty
37,43,crowded
11,15,seated
21,26,seated
5,7,empty
42,59,crowded
36,45,crowded
16,24,seated
13,16,seated
25,28,seated
31,52,crowded
3,7,empty
11,14,empty
22,26,seated
33,45,crowded
36,49,crowded
37,51,crowded
3,6,empty
1,2,empty
23,28,seated
35,43,crowded
43,52,crowded
17,23,seated
50,59,crowded
41,57,crowded
2,2,empty
11,19,seated
37,45,crowded
12,14,empty
15,24,seated
25,29,seated
12,13,empty
5,6,empty
10,16,seated
28,43,crowded
16,19,seated
27,35,seated
7,8,empty
29,37,seated
40,47,crowded
47,56,crowded
48,59,crowded
15,21,seated
37,53,crowded
43,52,crowded
39,52,crowded
0,1,empty
14,23,seated
3,7,empty
8,10,empty
8,12,empty
12,16,seated
2,7,empty
18,20,seated
14,17,seated
23,29,seated
14,17,seated
33,45,crowded
35,46,crowded
23,30,seated
25,37,seated
24,31,seated
8,10,empty
29,44,crowded
16,24,seated
26,32,seated
47,59,crowded
27,37,seated
28,40,crowded
4,7,empty
9,10,empty
15,21,seated
35,50,crowded
18,23,seated
28,40,crowded
15,16,seated
7,11,empty
46,56,crowded
36,45,crowded
22,31,seated
9,14,empty
13,15,seated
36,53,crowded
15,21,seated
17,27,seated
13,19,seated
21,32,seated
7,9,empty
25,39,crowded
22,31,seated
33,49,crowded
50,59,crowded
25,32,seated
0,1,empty
24,32,seated
23,32,seated
28,40,crowded
9,12,empty
23,29,seated
24,32,seated
10,12,empty
33,51,crowded
24,25,seated
18,21,seated
28,38,seated
3,1,empty
27,37,seated
26,38,seated
19,25,seated
34,45,crowded
44,57,crowded
42,49,crowded
10,14,empty
27,33,seated
34,41,crowded
39,54,crowded
31,43,crowded
33,48,crowded
34,39,crowded
8,10,empty
2,2,empty
49,58,crowded
5,5,empty
4,8,empty
2,5,empty
7,8,empty
26,38,seated
21,30,seated
23,31,seated
30,40,crowded
33,49,crowded
6,11,empty
7,7,empty
4,7,empty
37,49,crowded
22,27,seated
19,19,seated
32,46,crowded
40,58,crowded
6,6,empty
6,10,empty
13,19,seated
11,15,seated
2,3,empty
2,5,empty
40,57,crowded
19,21,seated
18,25,seated
1,2,empty
31,40,crowded
45,59,crowded
31,41,crowded
10,13,empty
7,10,empty
13,17,seated
41,53,crowded
7,11,empty
18,22,seated
9,11,empty
7,12,empty
19,24,seated
28,44,crowded
32,50,crowded
39,57,crowded
11,18,seated
43,54,crowded
31,45,crowded
28,35,seated
32,44,crowded
6,7,empty
22,28,seated
46,54,crowded
41,52,crowded
35,54,crowded
27,31,seated
39,50,crowded
30,43,crowded
11,17,seated
5,5,empty
14,17,seated
14,18,seated
14,21,seated
31,36,seated
22,31,seated
40,55,crowded
29,40,crowded
43,58,crowded
0,2,empty
20,27,seated
5,9,empty
36,50,crowded
25,34,seated
23,28,seated
